Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, K, L, M, N, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-29, 07:05:00.000000, 638.70, 638.72, 638.59, 638.64, 14994, 69, 638.66, 638.65, 638.66, 10400, 4594, 0.000, 0.000, 0.000, 0.000, 0, 594, -5806, -5806, 4594, -10400, 0, -5806
2025-7-29, 07:10:00.000000, 638.61, 638.64, 638.60, 638.60, 4571, 26, 638.61, 638.61, 638.62, 4252, 319, 0.000, 0.000, 0.000, 0.000, -100, -100, -3933, -3933, 319, -4252, 0, -3933
2025-7-29, 07:15:00.000000, 638.61, 638.63, 638.51, 638.51, 800, 7, 638.57, 638.55, 638.57, 500, 300, 0.000, 0.000, 0.000, 0.000, 0, 0, -300, -200, 300, -500, 0, -200
2025-7-29, 07:20:00.000000, 638.50, 638.54, 638.43, 638.53, 3291, 23, 638.50, 638.50, 638.48, 1451, 1840, 0.000, 0.000, 0.000, 0.000, 289, 1189, 289, 389, 1840, -1451, 0, 389
2025-7-29, 07:25:00.000000, 638.55, 638.55, 638.49, 638.51, 1800, 10, 638.52, 638.52, 638.52, 200, 1600, 0.000, 0.000, 0.000, 0.000, 1100, 1400, 1100, 1400, 1600, -200, 0, 1400
2025-7-29, 07:30:00.000000, 638.49, 638.60, 638.42, 638.42, 2998, 27, 638.48, 638.48, 638.51, 510, 2488, 0.000, 0.000, 0.000, 0.000, 0, 1978, -100, 1978, 2488, -510, 0, 1978
2025-7-29, 07:35:00.000000, 638.40, 638.41, 638.27, 638.27, 12900, 42, 638.34, 638.32, 638.34, 11200, 1700, 0.000, 0.000, 0.000, 0.000, 0, 450, -10000, -9500, 1700, -11200, 0, -9500
2025-7-29, 07:40:00.000000, 638.24, 638.45, 638.24, 638.45, 8900, 26, 638.34, 638.38, 638.34, 5200, 3700, 0.000, 0.000, 0.000, 0.000, -1500, -1500, -2700, -1500, 3700, -5200, 0, -1500
2025-7-29, 07:45:00.000000, 638.48, 638.52, 638.43, 638.45, 13722, 62, 638.47, 638.47, 638.47, 4937, 8785, 0.000, 0.000, 0.000, 0.000, 200, 6585, 200, 3848, 8785, -4937, 0, 3848
2025-7-29, 07:50:00.000000, 638.51, 638.54, 638.47, 638.50, 3444, 33, 638.51, 638.50, 638.51, 1100, 2344, 0.000, 0.000, 0.000, 0.000, 0, 1244, -56, 1244, 2344, -1100, 0, 1244
